story_id,canonical_title,summary,average_risk_score,average_recency,articles,canonical_source,avg_impact_score,avg_frequency,avg_location,risk_label
1166.0,White House Ousting of National Science Board,"The White House initiated a significant controversy by ousting the entire National Science Board. This unprecedented dismissal was widely interpreted as an escalation of the Trump administration's attack on science, drawing immediate concern from the scientific community. In response, scientists are actively lobbying Congress, pressing them not only on the abrupt firing of the National Science Foundation Board members but also on the broader implications for research funding. This action has highlighted a growing tension between the administration and scientific governance, raising questions about the future independence and financial support for critical scientific endeavors.",,,"[{Timestamp('2026-04-27 00:00:00+0000', tz='UTC'): 'White House Ousts Entire National Science Board'}, {Timestamp('2026-05-07 18:33:10+0000', tz='UTC'): 'Trump’s Attack on Science Escalates With Firing of Entire National Science Board'}, {Timestamp('2026-05-11 09:03:39+0000', tz='UTC'): 'Scientists Press Congress on Dismissal of National Science Foundation Board and Research Funding'}]",gemini,1.0,5.0,1.0,No Risk
1176.0,Tulane University Challenges and Transitions,"The Tulane Hullabaloo recently reported on pressing issues impacting the university and its own operations. Faculty within Tulane's liberal arts building are struggling amidst an ""endless"" renovation project, creating challenging work conditions. Concurrently, professors have raised serious academic freedom concerns, describing the situation as ""intellectual amputation,"" indicating a perceived threat to scholarly independence. Amidst these campus-wide developments, The Hullabaloo itself bid farewell to graduating seniors whose significant contributions left a lasting impact on the student publication, marking a period of transition for the newspaper as it continues to cover crucial university stories and internal changes.",,,"[{Timestamp('2026-04-29 00:00:00+0000', tz='UTC'): 'Inside the unfinished liberal arts building, faculty struggle amid Tulane’s ‘endless’ renovation • The Tulane Hullabaloo'}, {Timestamp('2026-04-29 00:00:00+0000', tz='UTC'): 'Seniors say goodbye: The students who left a lasting impact on The Hullabaloo • The Tulane Hullabaloo'}, {Timestamp('2026-04-29 00:00:00+0000', tz='UTC'): '‘Intellectual amputation’: Tulane professors call out university for academic freedom concerns • The Tulane Hullabaloo'}]",gemini,4.0,5.0,5.0,No Risk
1184.0,"Federal Student Loan Repayment and Graduate Loan Limit Changes, and Legal Challenges","The Trump administration implemented a major overhaul of federal student loans, notably introducing new, restrictive limits on graduate and professional student loans, impacting fields like nursing and physician assistants. These caps triggered extensive legal challenges, with 25 states and DC suing the Education Department. Judges subsequently blocked key aspects of these changes, eventually leading to higher loan limits for nursing and other programs. Simultaneously, the student loan repayment system saw significant changes, effective July 1, necessitating borrower action to avoid more expensive plans. While interest rates also saw some adjustments, the dominant narrative covers the contentious loan limits and the comprehensive, often challenged, repayment system transformation.",,,"[{Timestamp('2026-04-30 00:00:00+0000', tz='UTC'): 'ED Rejects Call to Expand Access to Higher Graduate Loan Caps'}, {Timestamp('2026-05-01 00:00:00+0000', tz='UTC'): 'Education Department’s Final Rule on Financial Aid Locks in Restrictive Graduate Loan Limits'}, {Timestamp('2026-05-08 19:17:37+0000', tz='UTC'): 'Big changes arrive July 1 for student borrowers, including in loan repayments'}, {Timestamp('2026-05-19 00:00:00+0000', tz='UTC'): '25 States Sue ED Over Grad Student Loan Limits'}, {Timestamp('2026-05-19 19:36:27+0000', tz='UTC'): 'New student loan limits challenged by Democratic attorneys general, governors in lawsuit'}, {Timestamp('2026-05-19 19:51:38+0000', tz='UTC'): ""Democratic-led states challenge the Trump administration's new caps on federal student loans""}, {Timestamp('2026-05-19 20:31:23+0000', tz='UTC'): ""Trump's plan to limit student loans for borrowers — including nurses — is illegal, 25 states say in a fresh lawsuit""}, {Timestamp('2026-05-19 22:44:13+0000', tz='UTC'): '25 states and DC sue Education Department over loan limits, citing health system strain'}, {Timestamp('2026-05-20 00:39:23+0000', tz='UTC'): '25 States Sue Over Changes Limiting Federal Loans for Nursing Degrees'}, {Timestamp('2026-05-25 09:00:55+0000', tz='UTC'): 'Student Loan Repayments Are Being Overhauled. What Borrowers Should Know.'}, {Timestamp('2026-06-01 09:00:03+0000', tz='UTC'): ""Trump's major student-loan changes for millions of borrowers are a month away""}, {Timestamp('2026-06-02 20:49:11+0000', tz='UTC'): 'Trump wants to make a complicated process for millions of student-loan borrowers easier'}, {Timestamp('2026-06-08 09:02:01+0000', tz='UTC'): 'Trump faces renewed push to cancel student debt for eligible borrowers and stop the transfer of accounts to the Treasury'}, {Timestamp('2026-06-11 09:15:01+0000', tz='UTC'): '7 million student-loan borrowers will soon need to take action — or be put on the most expensive repayment plan'}, {Timestamp('2026-06-16 11:00:06+0000', tz='UTC'): 'US student debt repayment system is being overhauled – here’s what to know'}, {Timestamp('2026-06-18 20:34:55+0000', tz='UTC'): 'Education Department cuts student loan interest rate'}, {Timestamp('2026-06-18 20:59:01+0000', tz='UTC'): 'Education Department Lowers Student Loan Interest Rates for Two Years'}, {Timestamp('2026-06-19 16:25:21+0000', tz='UTC'): 'US Education Dept. offers 2-year trim on student loan interest rates'}, {Timestamp('2026-06-22 03:38:39+0000', tz='UTC'): 'Rates on New Student Loans Will Rise on July 1'}, {Timestamp('2026-06-24 14:07:23+0000', tz='UTC'): ""New student loan limits are here. Here's what to do when federal aid isn't enough.""}, {Timestamp('2026-06-24 16:55:18+0000', tz='UTC'): 'What happens if you consolidate federal student loans after July 1?'}, {Timestamp('2026-06-25 11:00:13+0000', tz='UTC'): 'Would-be physician assistants deterred by strict caps on US student loans'}, {Timestamp('2026-06-25 15:10:08+0000', tz='UTC'): ""Judge blocks key part of Trump's student-loan repayment overhaul with days to go""}, {Timestamp('2026-06-25 20:48:02+0000', tz='UTC'): 'Judge blocks new professional student loan restrictions'}, {Timestamp('2026-06-26 06:14:37+0000', tz='UTC'): 'Judge blocks Trump plan that would limit graduate student loans in nursing and other fields'}, {Timestamp('2026-06-28 16:02:41+0000', tz='UTC'): 'Trump’s ‘big, beautiful bill’ is bringing a big set of student loan changes'}, {Timestamp('2026-06-29 17:59:26+0000', tz='UTC'): ""Trump's student-loan overhaul takes effect July 1 — but it's not the deadline for borrowers to act on repayment changes""}, {Timestamp('2026-06-30 01:59:35+0000', tz='UTC'): ""Nursing gains 'professional' label for student loans after judge's ruling""}, {Timestamp('2026-06-30 08:30:00+0000', tz='UTC'): 'Opinion: Short-sighted new student loan caps elevate chiropractic care over critical health care professions'}, {Timestamp('2026-06-30 09:02:41+0000', tz='UTC'): 'July to start with most student loan changes in decades. What to know'}, {Timestamp('2026-06-30 16:09:54+0000', tz='UTC'): ""Nursing and dozens of other programs are officially added to Trump's higher student-loan limits""}, {Timestamp('2026-06-30 18:10:46+0000', tz='UTC'): 'Nursing Students and Others Get Higher Student Loan Limits'}]",gemini,3.575,5.0,1.0625,Enrollment Pressure
1185.0,McMahon's Legislative Tensions,"McMahon has recently experienced a contentious period involving legislative bodies, demonstrating a challenging dynamic with Congress. A scheduled meeting with a Senate Committee was notably canceled due to a live-stream threat, indicating potential security concerns or a desire to control the public narrative around proceedings. This incident points to a charged atmosphere surrounding McMahon’s engagements. Concurrently, McMahon faced a more direct confrontation, engaging in a ""tussle"" with House Democrats during a separate, recent hearing. These events collectively paint a picture of ongoing friction, where McMahon is either avoiding or clashing with lawmakers amid intense scrutiny.",,,"[{Timestamp('2026-04-30 00:00:00+0000', tz='UTC'): 'McMahon Meeting With Senate Committee Canceled After Live-Stream Threat'}, {Timestamp('2026-05-15 07:00:00+0000', tz='UTC'): 'McMahon Tussles With House Democrats at Latest Hearing'}]",gemini,3.9,5.0,2.5,Policy or Political Interference
1192.0,FEMA's Shifting Role in Disaster Response,"During Trump's administration, FEMA faced significant proposed operational changes and scrutiny. A Trump-appointed panel urged states to take a primary lead in disaster recovery and recommended the agency respond to fewer incidents, prompting widespread questions about the future of federal disaster response. While FEMA's acting and interim leaders provided assurances about readiness for challenges like hurricane season, especially amidst local concerns over response effectiveness, the actual dispersal of disaster aid was noted to be slow in Trump’s second term, highlighting a tension between federal shifts and practical realities.",,,"[{Timestamp('2026-05-02 15:46:00+0000', tz='UTC'): 'FEMA Disaster Aid is Flowing Slowly In Trump’s Second Term'}, {Timestamp('2026-05-07 21:09:10+0000', tz='UTC'): 'Trump Panel Recommends FEMA Respond to Fewer Disasters'}, {Timestamp('2026-05-07 21:46:29+0000', tz='UTC'): 'Trump-appointed FEMA panel urges states should take the lead in disaster recovery'}, {Timestamp('2026-05-07 22:35:20+0000', tz='UTC'): 'Proposed FEMA changes raise questions about the future of disaster response'}, {Timestamp('2026-05-28 19:27:44+0000', tz='UTC'): ""FEMA acting head: 'We're ready for hurricane season'""}, {Timestamp('2026-06-10 21:03:03+0000', tz='UTC'): 'FEMA’s interim leader gives assurances, despite local concerns over disaster response'}]",gemini,1.4833333333333334,4.833333333333333,1.6666666666666667,No Risk
1197.0,Smith College Faces Federal Investigation for Transgender Admissions,"Smith College is currently facing a federal investigation, specifically initiated by the Trump Administration, concerning its policies on admitting trans women and trans students. The inquiry scrutinizes the college's practices regarding gender identity in admissions. This federal oversight into the institution's enrollment criteria centers on the legality and implications of admitting transgender individuals. The situation highlights a direct conflict between an educational institution's inclusive admissions approach and governmental scrutiny. Smith College now finds itself under intense review for its stance on diversity, particularly its welcoming of trans students, amidst broader national debates on these matters.",,,"[{Timestamp('2026-05-04 00:00:00+0000', tz='UTC'): 'Smith College Faces Federal Investigation for Admitting Trans Women'}, {Timestamp('2026-05-06 20:36:24+0000', tz='UTC'): 'Trump Administration Investigates Smith College for Admitting Trans Students'}]",gemini,3.95,5.0,1.0,Policy or Political Interference
1204.0,Cornell President's Car Bumps Students Amid Gaza Confrontation,"An incident at Cornell University involved the President's car bumping into students following a heated confrontation specifically concerning Gaza-related issues. This serious event has immediately triggered an official investigation by Cornell into the circumstances surrounding the interaction between the students and their president. Compounding the situation, Cornell has subsequently released a statement criticizing the students involved in the confrontation, even as the incident centrally involves their President's vehicle making contact. The university is now navigating the fallout, balancing an internal inquiry with its public stance, highlighting the complex nature of the encounter and the ensuing institutional response.",,,"[{Timestamp('2026-05-04 23:00:12+0000', tz='UTC'): 'Car Driven by Cornell’s President Bumps Into Students After Confrontation Over Gaza'}, {Timestamp('2026-05-08 16:00:08+0000', tz='UTC'): 'Cornell Is Investigating Confrontation Between President and Students'}, {Timestamp('2026-05-15 20:43:20+0000', tz='UTC'): 'Cornell Criticizes Students After Its President Bumps Them With His Car'}]",gemini,1.0,5.0,1.0,No Risk
1211.0,Dual Enrollment: Policy and Student Support Gaps,"Dual enrollment programs face two critical challenges: a widespread lack of state policies ensuring quality, and insufficient support for students. The absence of coherent oversight often leads to inconsistent program standards and varied experiences. Consequently, dual-enrollment students urgently need more robust academic, guidance, and transitional assistance to navigate college-level demands while in high school. To fully harness dual enrollment's potential, states must establish clear quality policies and bolster comprehensive support services to ensure equitable student success.",,,"[{Timestamp('2026-05-05 00:00:00+0000', tz='UTC'): 'States Lack Policies on Dual Enrollment Quality'}, {Timestamp('2026-05-20 07:00:00+0000', tz='UTC'): 'Dual-Enrollment Students Need More Support'}]",gemini,1.0,5.0,1.0,No Risk
1221.0,"FDA: Policy Shifts, Regulatory Challenges, and Future Initiatives","The FDA is at a critical juncture, grappling with internal turmoil described as ""dark times"" and ""destruction,"" prompting restructuring discussions. Despite this, the agency remains central to gene therapy, AI medical device regulation, and drug approvals, like AstraZeneca's hypertension drug. It's also launching new initiatives, such as a pilot for speeding early clinical trials, and advising on emerging areas like peptides. Externally, the FDA contends with efforts to blunt pharma reforms, drug company pressure on its voucher program, and global concerns, including China competition and probes into Chinese trial sites, all profoundly shaping its future.",,,"[{Timestamp('2026-05-06 08:30:00+0000', tz='UTC'): 'STAT+: Even at a meeting in Rome, FDA shifts are top of mind for gene therapy field'}, {Timestamp('2026-05-07 08:30:00+0000', tz='UTC'): 'STAT+: What was lost at the FDA'}, {Timestamp('2026-05-13 13:13:54+0000', tz='UTC'): 'STAT+: AI medical devices’ dirty FDA secret'}, {Timestamp('2026-05-18 17:05:01+0000', tz='UTC'): 'STAT+: AstraZeneca picks up FDA approval for hypertension drug'}, {Timestamp('2026-05-21 08:30:00+0000', tz='UTC'): 'Opinion: STAT+: Dark times ahead at the FDA'}, {Timestamp('2026-05-22 08:30:00+0000', tz='UTC'): 'STAT+: Genentech is soliciting research that can be used to blunt pharma reforms in Washington'}, {Timestamp('2026-05-30 15:48:20+0000', tz='UTC'): 'STAT+: China competition, ‘destruction’ at FDA give agency chance to restructure, Rick Pazdur says'}, {Timestamp('2026-06-04 20:53:33+0000', tz='UTC'): 'STAT+: Drug companies, patient groups urge FDA to pause commissioner’s voucher program'}, {Timestamp('2026-06-22 15:48:44+0000', tz='UTC'): 'STAT+: FDA to launch pilot program to speed up early-stage clinical trials'}, {Timestamp('2026-06-29 16:51:35+0000', tz='UTC'): 'STAT+: Longevity, wellness physicians named to panel advising FDA on peptides'}, {Timestamp('2026-06-30 13:31:20+0000', tz='UTC'): 'STAT+: Pharmalittle: We’re reading about Chinese trial sites being probed, RFK Jr. and peptides, and more'}]",gemini,1.0,3.1818181818181817,1.0,No Risk
1224.0,FDA Blocks Studies Showing COVID and Shingles Vaccine Safety,"According to recent reports, the FDA has directly intervened to stop the publication of scientific studies that affirmed the safety of COVID and shingles vaccines. These accounts detail how the agency actively blocked research demonstrating the safety of both vaccine types. The FDA's actions effectively prevented the dissemination of findings that showed these vaccines were safe for use. This move raises concerns regarding transparency and the availability of crucial public health data, as the agency actively impeded the release of information affirming the safety profiles of COVID and shingles vaccines to the public and scientific community.",,,"[{Timestamp('2026-05-06 16:11:10+0000', tz='UTC'): 'FDA stopped publication of studies showing COVID, shingles vaccines were safe'}, {Timestamp('2026-05-06 18:34:52+0000', tz='UTC'): 'FDA Blocks Studies Showing Safety of COVID, Shingles Vaccines'}]",gemini,2.5,5.0,1.0,Infectious Disease Outbreak
